h conv,66255,132510,198765,132510,66255,0,0,0,0,0,1,2,4,4,6,9,14,17,18,22,27,34,35,37,40,47,49,44,40,44,59,71,78,73,70,71,85,99,114,127,141,168,198,245,275,299,306,322,354,381,393,373,357,361,401,478,560,642,692,735,778,833,895,943,968,959,941,935,948,966,969,983,998,1056,1090,1108,1066,1048,1048,1047,1019,955,916,857,797,720,642,579,505,458,420,395,353,283,225,187,177,159,135,114,97,83,71,61,55,43,38,33,35,34,31,27,24,26,26,26,22,19,20,23,28,25,29,34,42,37,29,25,26,26,25,27,35,37,36,31,30,30,28,25,20,16,14,18,23,27,24,20,15,13,12,13,13,13,10,10,9,11,8,8,7,9,8,9,11,14,14,13,12,11,14,17,21,16,10,4,3,3,2,2,2,4,4,5,4,6,7,11,11,10,5,2,0,0,0,0,1,2,3,2,1,0,1,2,3,2,1,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vectorize,198765,132510,66255,0,0,0,0,0,1,2,4,4,6,9,14,17,18,22,27,34,35,37,40,47,49,44,40,44,59,71,78,73,70,71,85,99,114,127,141,168,198,245,275,299,306,322,354,381,393,373,357,361,401,478,560,642,692,735,778,833,895,943,968,959,941,935,948,966,969,983,998,1056,1090,1108,1066,1048,1048,1047,1019,955,916,857,797,720,642,579,505,458,420,395,353,283,225,187,177,159,135,114,97,83,71,61,55,43,38,33,35,34,31,27,24,26,26,26,22,19,20,23,28,25,29,34,42,37,29,25,26,26,25,27,35,37,36,31,30,30,28,25,20,16,14,18,23,27,24,20,15,13,12,13,13,13,10,10,9,11,8,8,7,9,8,9,11,14,14,13,12,11,14,17,21,16,10,4,3,3,2,2,2,4,4,5,4,6,7,11,11,10,5,2,0,0,0,0,1,2,3,2,1,0,1,2,3,2,1,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
division,0.45377029,0.302513526,0.151256763,0,0,0,0,0,2.28E-06,4.57E-06,9.13E-06,9.13E-06,1.37E-05,2.05E-05,3.20E-05,3.88E-05,4.11E-05,5.02E-05,6.16E-05,7.76E-05,7.99E-05,8.45E-05,9.13E-05,0.000107299,0.000111864,0.00010045,9.13E-05,0.00010045,0.000134694,0.000162089,0.00017807,0.000166655,0.000159806,0.000162089,0.000194051,0.000226012,0.000260256,0.000289934,0.000321896,0.000383535,0.000452024,0.000559322,0.000627811,0.000682602,0.000698582,0.000735109,0.000808164,0.000869803,0.000897199,0.00085154,0.000815013,0.000824144,0.000915462,0.001091249,0.001278451,0.001465653,0.0015798,0.001677967,0.001776134,0.001901696,0.002043239,0.002152821,0.002209894,0.002189348,0.002148255,0.002134557,0.002164235,0.002205328,0.002212177,0.002244139,0.002278383,0.002410794,0.002488414,0.002529507,0.002433623,0.00239253,0.00239253,0.002390247,0.002326325,0.002180216,0.002091181,0.001956487,0.00181951,0.001643723,0.001465653,0.001321827,0.001152889,0.00104559,0.000958838,0.000901765,0.000805881,0.000646074,0.000513663,0.000426911,0.000404082,0.000362989,0.000308198,0.000260256,0.000221446,0.000189485,0.000162089,0.00013926,0.000125562,9.82E-05,8.68E-05,7.53E-05,7.99E-05,7.76E-05,7.08E-05,6.16E-05,5.48E-05,5.94E-05,5.94E-05,5.94E-05,5.02E-05,4.34E-05,4.57E-05,5.25E-05,6.39E-05,5.71E-05,6.62E-05,7.76E-05,9.59E-05,8.45E-05,6.62E-05,5.71E-05,5.94E-05,5.94E-05,5.71E-05,6.16E-05,7.99E-05,8.45E-05,8.22E-05,7.08E-05,6.85E-05,6.85E-05,6.39E-05,5.71E-05,4.57E-05,3.65E-05,3.20E-05,4.11E-05,5.25E-05,6.16E-05,5.48E-05,4.57E-05,3.42E-05,2.97E-05,2.74E-05,2.97E-05,2.97E-05,2.97E-05,2.28E-05,2.28E-05,2.05E-05,2.51E-05,1.83E-05,1.83E-05,1.60E-05,2.05E-05,1.83E-05,2.05E-05,2.51E-05,3.20E-05,3.20E-05,2.97E-05,2.74E-05,2.51E-05,3.20E-05,3.88E-05,4.79E-05,3.65E-05,2.28E-05,9.13E-06,6.85E-06,6.85E-06,4.57E-06,4.57E-06,4.57E-06,9.13E-06,9.13E-06,1.14E-05,9.13E-06,1.37E-05,1.60E-05,2.51E-05,2.51E-05,2.28E-05,1.14E-05,4.57E-06,0,0,0,0,2.28E-06,4.57E-06,6.85E-06,4.57E-06,2.28E-06,0,2.28E-06,4.57E-06,6.85E-06,4.57E-06,2.28E-06,0,0,2.28E-06,4.57E-06,6.85E-06,4.57E-06,2.28E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28E-06,4.57E-06,6.85E-06,4.57E-06,2.28E-06,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"py yg conv benar, tapi masih kurang akurat karena di processing sebelum conv terdapat kesalahan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
